id,scene_id,image,query_type,question,option_A,option_B,option_C,option_D,option_E,answer,answer_text,split_group,ood_axis,layout_family,lighting_condition,clutter_level,difficulty_tier,task_family
cw_scene017_q00,scene_017,images/scene_017.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 5,Slot 1,Slot 4,Slot 3,Slot 2,C,Slot 4,standard_holdout,standard,compact_panel,normal,medium,medium,wafer_tracking
cw_scene017_q01,scene_017,images/scene_017.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,31,62,26,18,22,B,62,standard_holdout,standard,compact_panel,normal,medium,medium,instrument_reading
cw_scene017_q02,scene_017,images/scene_017.png,led_state,Which module shows the blue status LED?,Module E,Module B,Module A,Module C,Module D,D,Module C,standard_holdout,standard,compact_panel,normal,medium,medium,instrument_reading
cw_scene017_q03,scene_017,images/scene_017.png,cable_connection,Which port is connected to the green cable?,P1,P2,P4,P5,P3,E,P3,standard_holdout,standard,compact_panel,normal,medium,medium,connection_audit
cw_scene017_q04,scene_017,images/scene_017.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station A,Station D,Station E,Station C,B,Station A,standard_holdout,standard,compact_panel,normal,medium,medium,wafer_tracking
cw_scene017_q05,scene_017,images/scene_017.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,center,upper-left,upper-right,lower-left,A,lower-right,standard_holdout,standard,compact_panel,normal,medium,medium,defect_audit
cw_scene017_q06,scene_017,images/scene_017.png,lot_code,What two-digit lot code is shown on the pod label?,50,26,22,30,96,E,96,standard_holdout,standard,compact_panel,normal,medium,medium,instrument_reading
cw_scene017_q07,scene_017,images/scene_017.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",2,4,5,1,3,B,4,standard_holdout,standard,compact_panel,normal,medium,medium,route_memory
cw_scene018_q00,scene_018,images/scene_018.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 4,Slot 3,Slot 2,Slot 5,Slot 1,A,Slot 4,standard_holdout,low_light,compact_panel,low_light,medium,medium,wafer_tracking
cw_scene018_q01,scene_018,images/scene_018.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,31,18,71,26,D,71,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene018_q02,scene_018,images/scene_018.png,led_state,Which module shows the red status LED?,Module E,Module C,Module A,Module B,Module D,D,Module B,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene018_q03,scene_018,images/scene_018.png,cable_connection,Which port is connected to the orange cable?,P3,P1,P4,P5,P2,A,P3,standard_holdout,low_light,compact_panel,low_light,medium,medium,connection_audit
cw_scene018_q04,scene_018,images/scene_018.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station A,Station D,Station C,Station B,A,Station E,standard_holdout,low_light,compact_panel,low_light,medium,medium,wafer_tracking
cw_scene018_q05,scene_018,images/scene_018.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,lower-left,upper-right,upper-left,center,A,lower-right,standard_holdout,low_light,compact_panel,low_light,medium,medium,defect_audit
cw_scene018_q06,scene_018,images/scene_018.png,lot_code,What two-digit lot code is shown on the pod label?,89,83,52,25,95,A,89,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene018_q07,scene_018,images/scene_018.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",3,4,5,2,1,C,5,standard_holdout,low_light,compact_panel,low_light,medium,medium,route_memory
cw_scene019_q00,scene_019,images/scene_019.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 2,Slot 4,Slot 5,Slot 3,Slot 1,A,Slot 2,standard_holdout,standard,left_cassette,blue_cast,medium,medium,wafer_tracking
cw_scene019_q01,scene_019,images/scene_019.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,31,26,88,22,D,88,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene019_q02,scene_019,images/scene_019.png,led_state,Which module shows the cyan status LED?,Module B,Module E,Module C,Module D,Module A,C,Module C,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene019_q03,scene_019,images/scene_019.png,cable_connection,Which port is connected to the yellow cable?,P4,P5,P1,P2,P3,E,P3,standard_holdout,standard,left_cassette,blue_cast,medium,medium,connection_audit
cw_scene019_q04,scene_019,images/scene_019.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station C,Station D,Station E,Station B,E,Station B,standard_holdout,standard,left_cassette,blue_cast,medium,medium,wafer_tracking
cw_scene019_q05,scene_019,images/scene_019.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,lower-left,center,lower-right,upper-left,B,lower-left,standard_holdout,standard,left_cassette,blue_cast,medium,medium,defect_audit
cw_scene019_q06,scene_019,images/scene_019.png,lot_code,What two-digit lot code is shown on the pod label?,35,47,41,32,88,C,41,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene019_q07,scene_019,images/scene_019.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",4,3,2,5,1,B,3,standard_holdout,standard,left_cassette,blue_cast,medium,medium,route_memory
cw_scene020_q00,scene_020,images/scene_020.png,slot_color,Which cassette slot contains the green wafer?,Slot 5,Slot 1,Slot 3,Slot 2,Slot 4,B,Slot 1,standard_holdout,standard,left_cassette,normal,medium,medium,wafer_tracking
cw_scene020_q01,scene_020,images/scene_020.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,22,26,35,31,E,31,standard_holdout,standard,left_cassette,normal,medium,medium,instrument_reading
cw_scene020_q02,scene_020,images/scene_020.png,led_state,Which module shows the amber status LED?,Module D,Module E,Module B,Module C,Module A,D,Module C,standard_holdout,standard,left_cassette,normal,medium,medium,instrument_reading
cw_scene020_q03,scene_020,images/scene_020.png,cable_connection,Which port is connected to the cyan cable?,P2,P3,P5,P1,P4,A,P2,standard_holdout,standard,left_cassette,normal,medium,medium,connection_audit
cw_scene020_q04,scene_020,images/scene_020.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station E,Station A,Station D,Station B,B,Station E,standard_holdout,standard,left_cassette,normal,medium,medium,wafer_tracking
cw_scene020_q05,scene_020,images/scene_020.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,center,upper-right,upper-left,lower-left,A,lower-right,standard_holdout,standard,left_cassette,normal,medium,medium,defect_audit
cw_scene020_q06,scene_020,images/scene_020.png,lot_code,What two-digit lot code is shown on the pod label?,41,37,27,47,68,B,37,standard_holdout,standard,left_cassette,normal,medium,medium,instrument_reading
cw_scene020_q07,scene_020,images/scene_020.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",3,5,4,1,2,E,2,standard_holdout,standard,left_cassette,normal,medium,medium,route_memory
cw_scene021_q00,scene_021,images/scene_021.png,slot_color,Which cassette slot contains the red wafer?,Slot 1,Slot 4,Slot 5,Slot 3,Slot 2,C,Slot 5,standard_holdout,standard,wide_ports,blue_cast,medium,medium,wafer_tracking
cw_scene021_q01,scene_021,images/scene_021.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,31,26,88,18,D,88,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene021_q02,scene_021,images/scene_021.png,led_state,Which module shows the amber status LED?,Module B,Module C,Module E,Module A,Module D,A,Module B,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene021_q03,scene_021,images/scene_021.png,cable_connection,Which port is connected to the cyan cable?,P3,P5,P2,P4,P1,B,P5,standard_holdout,standard,wide_ports,blue_cast,medium,medium,connection_audit
cw_scene021_q04,scene_021,images/scene_021.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station C,Station A,Station D,Station E,D,Station D,standard_holdout,standard,wide_ports,blue_cast,medium,medium,wafer_tracking
cw_scene021_q05,scene_021,images/scene_021.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,lower-right,lower-left,center,upper-right,B,lower-right,standard_holdout,standard,wide_ports,blue_cast,medium,medium,defect_audit
cw_scene021_q06,scene_021,images/scene_021.png,lot_code,What two-digit lot code is shown on the pod label?,45,77,86,43,33,E,33,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene021_q07,scene_021,images/scene_021.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",4,3,1,2,5,D,2,standard_holdout,standard,wide_ports,blue_cast,medium,medium,route_memory
cw_scene022_q00,scene_022,images/scene_022.png,slot_color,Which cassette slot contains the blue wafer?,Slot 5,Slot 3,Slot 1,Slot 2,Slot 4,B,Slot 3,standard_holdout,low_light,wide_ports,low_light,medium,medium,wafer_tracking
cw_scene022_q01,scene_022,images/scene_022.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,31,26,22,35,A,18,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene022_q02,scene_022,images/scene_022.png,led_state,Which module shows the green status LED?,Module B,Module E,Module D,Module C,Module A,B,Module E,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene022_q03,scene_022,images/scene_022.png,cable_connection,Which port is connected to the yellow cable?,P4,P1,P3,P2,P5,A,P4,standard_holdout,low_light,wide_ports,low_light,medium,medium,connection_audit
cw_scene022_q04,scene_022,images/scene_022.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station C,Station B,Station A,Station E,C,Station B,standard_holdout,low_light,wide_ports,low_light,medium,medium,wafer_tracking
cw_scene022_q05,scene_022,images/scene_022.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,upper-right,lower-left,center,upper-left,C,lower-left,standard_holdout,low_light,wide_ports,low_light,medium,medium,defect_audit
cw_scene022_q06,scene_022,images/scene_022.png,lot_code,What two-digit lot code is shown on the pod label?,98,91,50,53,96,A,98,standard_holdout,low_light,wide_ports,low_light,medium,medium,instrument_reading
cw_scene022_q07,scene_022,images/scene_022.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",3,5,1,2,4,D,2,standard_holdout,low_light,wide_ports,low_light,medium,medium,route_memory
cw_scene023_q00,scene_023,images/scene_023.png,slot_color,Which cassette slot contains the red wafer?,Slot 5,Slot 2,Slot 1,Slot 3,Slot 4,D,Slot 3,standard_holdout,low_light,compact_panel,low_light,medium,medium,wafer_tracking
cw_scene023_q01,scene_023,images/scene_023.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,22,26,35,31,B,22,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene023_q02,scene_023,images/scene_023.png,led_state,Which module shows the red status LED?,Module A,Module E,Module D,Module C,Module B,C,Module D,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene023_q03,scene_023,images/scene_023.png,cable_connection,Which port is connected to the green cable?,P1,P4,P3,P5,P2,B,P4,standard_holdout,low_light,compact_panel,low_light,medium,medium,connection_audit
cw_scene023_q04,scene_023,images/scene_023.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station D,Station A,Station C,Station B,C,Station A,standard_holdout,low_light,compact_panel,low_light,medium,medium,wafer_tracking
cw_scene023_q05,scene_023,images/scene_023.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,upper-left,lower-right,center,upper-right,A,lower-left,standard_holdout,low_light,compact_panel,low_light,medium,medium,defect_audit
cw_scene023_q06,scene_023,images/scene_023.png,lot_code,What two-digit lot code is shown on the pod label?,47,88,37,78,50,A,47,standard_holdout,low_light,compact_panel,low_light,medium,medium,instrument_reading
cw_scene023_q07,scene_023,images/scene_023.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",5,3,2,1,4,B,3,standard_holdout,low_light,compact_panel,low_light,medium,medium,route_memory
cw_scene024_q00,scene_024,images/scene_024.png,slot_color,Which cassette slot contains the blue wafer?,Slot 4,Slot 1,Slot 2,Slot 3,Slot 5,E,Slot 5,standard_holdout,low_light,left_cassette,low_light,medium,medium,wafer_tracking
cw_scene024_q01,scene_024,images/scene_024.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,62,31,22,26,B,62,standard_holdout,low_light,left_cassette,low_light,medium,medium,instrument_reading
cw_scene024_q02,scene_024,images/scene_024.png,led_state,Which module shows the blue status LED?,Module A,Module E,Module B,Module D,Module C,B,Module E,standard_holdout,low_light,left_cassette,low_light,medium,medium,instrument_reading
cw_scene024_q03,scene_024,images/scene_024.png,cable_connection,Which port is connected to the cyan cable?,P5,P3,P1,P4,P2,A,P5,standard_holdout,low_light,left_cassette,low_light,medium,medium,connection_audit
cw_scene024_q04,scene_024,images/scene_024.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station B,Station D,Station C,Station E,E,Station E,standard_holdout,low_light,left_cassette,low_light,medium,medium,wafer_tracking
cw_scene024_q05,scene_024,images/scene_024.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-right,center,lower-left,upper-left,lower-right,B,center,standard_holdout,low_light,left_cassette,low_light,medium,medium,defect_audit
cw_scene024_q06,scene_024,images/scene_024.png,lot_code,What two-digit lot code is shown on the pod label?,49,66,48,89,78,A,49,standard_holdout,low_light,left_cassette,low_light,medium,medium,instrument_reading
cw_scene024_q07,scene_024,images/scene_024.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",4,2,5,1,3,A,4,standard_holdout,low_light,left_cassette,low_light,medium,medium,route_memory
cw_scene025_q00,scene_025,images/scene_025.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 1,Slot 4,Slot 5,Slot 2,A,Slot 3,standard_holdout,standard,left_cassette,blue_cast,medium,medium,wafer_tracking
cw_scene025_q01,scene_025,images/scene_025.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,26,31,18,82,E,82,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene025_q02,scene_025,images/scene_025.png,led_state,Which module shows the green status LED?,Module C,Module A,Module B,Module D,Module E,C,Module B,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene025_q03,scene_025,images/scene_025.png,cable_connection,Which port is connected to the yellow cable?,P2,P5,P3,P1,P4,B,P5,standard_holdout,standard,left_cassette,blue_cast,medium,medium,connection_audit
cw_scene025_q04,scene_025,images/scene_025.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station D,Station E,Station C,Station A,C,Station E,standard_holdout,standard,left_cassette,blue_cast,medium,medium,wafer_tracking
cw_scene025_q05,scene_025,images/scene_025.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,upper-right,lower-right,upper-left,center,A,lower-left,standard_holdout,standard,left_cassette,blue_cast,medium,medium,defect_audit
cw_scene025_q06,scene_025,images/scene_025.png,lot_code,What two-digit lot code is shown on the pod label?,18,44,15,56,76,B,44,standard_holdout,standard,left_cassette,blue_cast,medium,medium,instrument_reading
cw_scene025_q07,scene_025,images/scene_025.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",2,1,5,4,3,D,4,standard_holdout,standard,left_cassette,blue_cast,medium,medium,route_memory
cw_scene026_q00,scene_026,images/scene_026.png,slot_color,Which cassette slot contains the blue wafer?,Slot 2,Slot 4,Slot 3,Slot 1,Slot 5,B,Slot 4,standard_holdout,standard,wide_ports,blue_cast,medium,medium,wafer_tracking
cw_scene026_q01,scene_026,images/scene_026.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,71,22,26,31,B,71,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene026_q02,scene_026,images/scene_026.png,led_state,Which module shows the blue status LED?,Module B,Module D,Module C,Module A,Module E,C,Module C,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene026_q03,scene_026,images/scene_026.png,cable_connection,Which port is connected to the purple cable?,P3,P4,P5,P1,P2,A,P3,standard_holdout,standard,wide_ports,blue_cast,medium,medium,connection_audit
cw_scene026_q04,scene_026,images/scene_026.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station D,Station A,Station C,Station E,C,Station A,standard_holdout,standard,wide_ports,blue_cast,medium,medium,wafer_tracking
cw_scene026_q05,scene_026,images/scene_026.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,upper-right,lower-left,center,lower-right,B,upper-right,standard_holdout,standard,wide_ports,blue_cast,medium,medium,defect_audit
cw_scene026_q06,scene_026,images/scene_026.png,lot_code,What two-digit lot code is shown on the pod label?,61,34,69,82,54,D,82,standard_holdout,standard,wide_ports,blue_cast,medium,medium,instrument_reading
cw_scene026_q07,scene_026,images/scene_026.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",3,1,4,5,2,E,2,standard_holdout,standard,wide_ports,blue_cast,medium,medium,route_memory
cw_scene027_q00,scene_027,images/scene_027.png,slot_color,Which cassette slot contains the blue wafer?,Slot 2,Slot 5,Slot 1,Slot 3,Slot 4,D,Slot 3,standard_holdout,low_light,right_cassette,low_light,medium,medium,wafer_tracking
cw_scene027_q01,scene_027,images/scene_027.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,39,18,31,22,B,39,standard_holdout,low_light,right_cassette,low_light,medium,medium,instrument_reading
cw_scene027_q02,scene_027,images/scene_027.png,led_state,Which module shows the amber status LED?,Module A,Module E,Module C,Module D,Module B,D,Module D,standard_holdout,low_light,right_cassette,low_light,medium,medium,instrument_reading
cw_scene027_q03,scene_027,images/scene_027.png,cable_connection,Which port is connected to the orange cable?,P4,P5,P2,P1,P3,E,P3,standard_holdout,low_light,right_cassette,low_light,medium,medium,connection_audit
cw_scene027_q04,scene_027,images/scene_027.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station E,Station C,Station B,Station A,E,Station A,standard_holdout,low_light,right_cassette,low_light,medium,medium,wafer_tracking
cw_scene027_q05,scene_027,images/scene_027.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,upper-right,lower-left,upper-left,center,C,lower-left,standard_holdout,low_light,right_cassette,low_light,medium,medium,defect_audit
cw_scene027_q06,scene_027,images/scene_027.png,lot_code,What two-digit lot code is shown on the pod label?,17,97,54,29,24,B,97,standard_holdout,low_light,right_cassette,low_light,medium,medium,instrument_reading
cw_scene027_q07,scene_027,images/scene_027.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 3?",5,1,3,4,2,B,1,standard_holdout,low_light,right_cassette,low_light,medium,medium,route_memory
cw_scene028_q00,scene_028,images/scene_028.png,slot_color,Which cassette slot contains the red wafer?,Slot 3,Slot 4,Slot 1,Slot 2,Slot 5,B,Slot 4,ood_low_light,low_light,wide_ports,low_light,medium,hard,wafer_tracking
cw_scene028_q01,scene_028,images/scene_028.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,26,31,22,71,E,71,ood_low_light,low_light,wide_ports,low_light,medium,hard,instrument_reading
cw_scene028_q02,scene_028,images/scene_028.png,led_state,Which module shows the amber status LED?,Module D,Module C,Module B,Module E,Module A,A,Module D,ood_low_light,low_light,wide_ports,low_light,medium,hard,instrument_reading
cw_scene028_q03,scene_028,images/scene_028.png,cable_connection,Which port is connected to the purple cable?,P4,P2,P1,P5,P3,D,P5,ood_low_light,low_light,wide_ports,low_light,medium,hard,connection_audit
cw_scene028_q04,scene_028,images/scene_028.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station C,Station B,Station A,Station E,Station D,E,Station D,ood_low_light,low_light,wide_ports,low_light,medium,hard,wafer_tracking
cw_scene028_q05,scene_028,images/scene_028.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,center,upper-left,lower-right,upper-right,A,lower-left,ood_low_light,low_light,wide_ports,low_light,medium,hard,defect_audit
cw_scene028_q06,scene_028,images/scene_028.png,lot_code,What two-digit lot code is shown on the pod label?,65,37,42,98,58,D,98,ood_low_light,low_light,wide_ports,low_light,medium,hard,instrument_reading
cw_scene028_q07,scene_028,images/scene_028.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 1?",5,3,2,4,1,D,4,ood_low_light,low_light,wide_ports,low_light,medium,hard,route_memory
cw_scene029_q00,scene_029,images/scene_029.png,slot_color,Which cassette slot contains the amber wafer?,Slot 4,Slot 1,Slot 3,Slot 5,Slot 2,C,Slot 3,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene029_q01,scene_029,images/scene_029.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,18,35,26,22,31,E,31,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q02,scene_029,images/scene_029.png,led_state,Which module shows the cyan status LED?,Module A,Module B,Module E,Module C,Module D,A,Module A,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q03,scene_029,images/scene_029.png,cable_connection,Which port is connected to the purple cable?,P2,P4,P1,P3,P5,C,P1,ood_low_light,low_light,left_cassette,low_light,medium,hard,connection_audit
cw_scene029_q04,scene_029,images/scene_029.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station E,Station B,Station D,Station A,Station C,A,Station E,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene029_q05,scene_029,images/scene_029.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-left,lower-right,upper-right,upper-left,center,D,upper-left,ood_low_light,low_light,left_cassette,low_light,medium,hard,defect_audit
cw_scene029_q06,scene_029,images/scene_029.png,lot_code,What two-digit lot code is shown on the pod label?,19,47,62,81,74,C,62,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene029_q07,scene_029,images/scene_029.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 5?",4,5,2,1,3,E,3,ood_low_light,low_light,left_cassette,low_light,medium,hard,route_memory
cw_scene030_q00,scene_030,images/scene_030.png,slot_color,Which cassette slot contains the amber wafer?,Slot 2,Slot 1,Slot 5,Slot 4,Slot 3,A,Slot 2,ood_low_light,low_light,compact_panel,low_light,medium,hard,wafer_tracking
cw_scene030_q01,scene_030,images/scene_030.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,26,31,18,22,C,31,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q02,scene_030,images/scene_030.png,led_state,Which module shows the cyan status LED?,Module E,Module C,Module A,Module B,Module D,B,Module C,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q03,scene_030,images/scene_030.png,cable_connection,Which port is connected to the yellow cable?,P1,P5,P3,P4,P2,E,P2,ood_low_light,low_light,compact_panel,low_light,medium,hard,connection_audit
cw_scene030_q04,scene_030,images/scene_030.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station E,Station A,Station C,A,Station D,ood_low_light,low_light,compact_panel,low_light,medium,hard,wafer_tracking
cw_scene030_q05,scene_030,images/scene_030.png,defect_location,Where is the magenta particle marker located on the cassette area?,upper-left,upper-right,center,lower-left,lower-right,A,upper-left,ood_low_light,low_light,compact_panel,low_light,medium,hard,defect_audit
cw_scene030_q06,scene_030,images/scene_030.png,lot_code,What two-digit lot code is shown on the pod label?,28,17,35,71,56,A,28,ood_low_light,low_light,compact_panel,low_light,medium,hard,instrument_reading
cw_scene030_q07,scene_030,images/scene_030.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",1,5,3,4,2,E,2,ood_low_light,low_light,compact_panel,low_light,medium,hard,route_memory
cw_scene031_q00,scene_031,images/scene_031.png,slot_color,Which cassette slot contains the amber wafer?,Slot 3,Slot 1,Slot 5,Slot 4,Slot 2,B,Slot 1,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene031_q01,scene_031,images/scene_031.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,35,22,18,26,31,C,18,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q02,scene_031,images/scene_031.png,led_state,Which module shows the cyan status LED?,Module A,Module E,Module B,Module C,Module D,A,Module A,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q03,scene_031,images/scene_031.png,cable_connection,Which port is connected to the yellow cable?,P2,P3,P5,P4,P1,C,P5,ood_low_light,low_light,left_cassette,low_light,medium,hard,connection_audit
cw_scene031_q04,scene_031,images/scene_031.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station B,Station A,Station C,Station E,Station D,B,Station A,ood_low_light,low_light,left_cassette,low_light,medium,hard,wafer_tracking
cw_scene031_q05,scene_031,images/scene_031.png,defect_location,Where is the magenta particle marker located on the cassette area?,lower-right,upper-right,center,lower-left,upper-left,E,upper-left,ood_low_light,low_light,left_cassette,low_light,medium,hard,defect_audit
cw_scene031_q06,scene_031,images/scene_031.png,lot_code,What two-digit lot code is shown on the pod label?,59,16,96,29,62,A,59,ood_low_light,low_light,left_cassette,low_light,medium,hard,instrument_reading
cw_scene031_q07,scene_031,images/scene_031.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 2?",3,2,1,5,4,A,3,ood_low_light,low_light,left_cassette,low_light,medium,hard,route_memory
cw_scene032_q00,scene_032,images/scene_032.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 4,Slot 1,Slot 5,Slot 3,Slot 2,E,Slot 2,ood_glare,glare,left_cassette,glare,medium,hard,wafer_tracking
cw_scene032_q01,scene_032,images/scene_032.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,26,39,18,22,31,B,39,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q02,scene_032,images/scene_032.png,led_state,Which module shows the cyan status LED?,Module A,Module D,Module B,Module C,Module E,B,Module D,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q03,scene_032,images/scene_032.png,cable_connection,Which port is connected to the purple cable?,P4,P3,P1,P2,P5,A,P4,ood_glare,glare,left_cassette,glare,medium,hard,connection_audit
cw_scene032_q04,scene_032,images/scene_032.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station D,Station B,Station E,Station C,Station A,B,Station B,ood_glare,glare,left_cassette,glare,medium,hard,wafer_tracking
cw_scene032_q05,scene_032,images/scene_032.png,defect_location,Where is the magenta particle marker located on the cassette area?,center,upper-left,upper-right,lower-right,lower-left,E,lower-left,ood_glare,glare,left_cassette,glare,medium,hard,defect_audit
cw_scene032_q06,scene_032,images/scene_032.png,lot_code,What two-digit lot code is shown on the pod label?,22,55,58,82,10,C,58,ood_glare,glare,left_cassette,glare,medium,hard,instrument_reading
cw_scene032_q07,scene_032,images/scene_032.png,route_order,"In the route strip, which waypoint comes immediately after waypoint 4?",3,5,1,2,4,C,1,ood_glare,glare,left_cassette,glare,medium,hard,route_memory
cw_scene033_q00,scene_033,images/scene_033.png,slot_color,Which cassette slot contains the cyan wafer?,Slot 3,Slot 4,Slot 2,Slot 5,Slot 1,E,Slot 1,ood_glare,glare,compact_panel,glare,medium,hard,wafer_tracking
cw_scene033_q01,scene_033,images/scene_033.png,gauge_reading,What two-digit pressure value is displayed on the PSI gauge?,22,18,26,35,31,B,18,ood_glare,glare,compact_panel,glare,medium,hard,instrument_reading
cw_scene033_q02,scene_033,images/scene_033.png,led_state,Which module shows the blue status LED?,Module B,Module A,Module C,Module D,Module E,D,Module D,ood_glare,glare,compact_panel,glare,medium,hard,instrument_reading
cw_scene033_q03,scene_033,images/scene_033.png,cable_connection,Which port is connected to the green cable?,P2,P5,P3,P1,P4,A,P2,ood_glare,glare,compact_panel,glare,medium,hard,connection_audit
cw_scene033_q04,scene_033,images/scene_033.png,robot_alignment,Which station is the orange robot arm pointing toward?,Station A,Station E,Station B,Station C,Station D,B,Station E,ood_glare,glare,compact_panel,glare,medium,hard,wafer_tracking
